,Title,Genre,Director,Actors,Plot,id,release year
0,GoodFellas,"Drama,Crime",Martin Scorsese,"Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",769,1990-09-12
1,Die Hard 2,"Action,Thriller",Renny Harlin,"Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson","Off-duty cop John McClane is gripped with a feeling of déjà vu when, on a snowy Christmas Eve in the nation’s capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane’s smart-mouthed heroics.",1573,1990-07-02
2,Edward Scissorhands,"Fantasy,Drama,Romance",Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest,Alan Arkin",A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,162,1990-12-05
3,Rocky V,Drama,John G. Avildsen,"Sylvester Stallone,Talia Shire,Burt Young,Sage Stallone","A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",1375,1990-10-18
4,Predator 2,"Science Fiction,Action,Thriller",Stephen Hopkins,"Kevin Peter Hall,Danny Glover,Gary Busey,Rubén Blades","Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth—and this time, it’s drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",169,1990-11-20
5,The Godfather: Part III,"Crime,Drama,Thriller",Francis Ford Coppola,"Al Pacino,Diane Keaton,Talia Shire,Andy García","In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",242,1990-12-24
6,Dances with Wolves,"Adventure,Drama,Western",Kevin Costner,"Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant","Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he’s assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",581,1990-11-09
7,Total Recall,"Action,Adventure,Science Fiction",Paul Verhoeven,"Arnold Schwarzenegger,Sharon Stone,Rachel Ticotin,Ronny Cox","Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",861,1990-06-01
8,Back to the Future Part III,"Adventure,Comedy,Family,Science Fiction",Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Thomas F. Wilson","The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",196,1990-05-25
9,Pretty Woman,"Romance,Comedy",Garry Marshall,"Julia Roberts,Richard Gere,Ralph Bellamy,Jason Alexander","When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",114,1990-03-23
10,Gremlins 2: The New Batch,"Comedy,Horror,Fantasy",Joe Dante,"Zach Galligan,Phoebe Cates,John Glover,Robert Prosky","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",928,1990-06-15
11,Ghost,"Fantasy,Drama,Thriller,Mystery,Romance",Jerry Zucker,"Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn","Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",251,1990-07-12
12,Look Who's Talking Too,"Romance,Comedy",Amy Heckerling,"John Travolta,Kirstie Alley,Bruce Willis,Roseanne Barr","Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time.",9356,1990-12-14
13,RoboCop 2,"Action,Adventure,Crime,Science Fiction,Thriller",Irvin Kershner,"Peter Weller,Nancy Allen,Tom Noonan,Belinda Bauer","After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God.",5549,1990-06-22
14,Teenage Mutant Ninja Turtles,"Science Fiction,Action,Adventure,Comedy,Family",Steve Barron,"Judith Hoag,Elias Koteas,Josh Pais,Corey Feldman",A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas,1498,1990-03-30
15,Child's Play 2,"Drama,Horror",John Lafia,"Alex Vincent,Jenny Agutter,Gerrit Graham,Christine Elise","When Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.",11186,1990-11-09
16,The Hunt for Red October,"Action,Adventure,Thriller",John McTiernan,"Alec Baldwin,Sean Connery,Scott Glenn,Sam Neill","A new, technologically-superior Soviet sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. A lone CIA analyst has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it — because the entire Russian naval and air commands are trying to find him, too.",1669,1990-03-02
17,Tremors,"Action,Horror",Ron Underwood,"Kevin Bacon,Fred Ward,Finn Carter,Michael Gross","Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.",9362,1990-01-19
18,Awakenings,Drama,Penny Marshall,"Robert De Niro,Robin Williams,John Heard,Julie Kavner","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",11005,1990-12-04
19,Miller's Crossing,"Drama,Thriller,Crime",Joel Coen,"John Turturro,Gabriel Byrne,Marcia Gay Harden,Steve Buscemi","Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",379,1990-09-21
20,Darkman,"Action,Science Fiction,Crime",Sam Raimi,"Liam Neeson,Frances McDormand,Colin Friels,Larry Drake","Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",9556,1990-08-24
21,Misery,"Drama,Thriller",Rob Reiner,"James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen","Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.",1700,1990-11-30
22,Flatliners,"Drama,Horror,Science Fiction,Thriller",Joel Schumacher,"Kiefer Sutherland,Julia Roberts,Kevin Bacon,William Baldwin","Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.",1551,1990-08-10
23,Dragon Ball Z: The World's Strongest,"Action,Animation",Daisuke Nishio,"Masako Nozawa,Toshio Furukawa,Mayumi Tanaka,Hiromi Tsuru","The evil Dr. Kochin uses the dragon balls to resurrect his mentor, Dr. Wheelo, in an effort to take over the world. Dr. Wheelo, his body having been destroyed by the avalanche that killed him fifty years before, desires the body of the strongest fighter in the world as his new vessel. Believing Roshi to be the world's strongest warrior, Dr. Kochin abducts Bulma and forces Roshi to surrender himself to save her. When Goku hears of their abduction, he goes to their rescue.",39100,1990-03-10
24,Jacob's Ladder,"Drama,Mystery,Horror",Adrian Lyne,"Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven",A traumatized Vietnam war veteran finds out that his post-war life isn't what he believes it to be when he's attacked by horned creatures in the subway and his dead son comes to visit him...,2291,1990-11-02
